unitprice,area,year,direction,decoration,bedroom,hall,lavatory,storey,totalstorey,elevator,property,far,parkinglot,greening,fee,admdist,secdist,subway,school,business,amenity
39901,52.6,20,1,3,1,1,1,中层,6,0,0,1.4,400,0.4,1,浦东,48258.65812,TRUE,FALSE,TRUE,TRUE
35791,67,23,1,3,2,1,1,高层,6,0,1,1.4,300,0.35,0.6,浦东,46229.27132,TRUE,FALSE,FALSE,FALSE
51613,155,1,1,3,3,2,3,中层,18,1,1,2.2,388,0.4,4.5,浦东,48392.1625,TRUE,FALSE,TRUE,FALSE
52632,60.8,22,1,3,2,2,1,高层,6,0,1,1.8,284,0.26,0.8,浦东,47038.57386,TRUE,TRUE,TRUE,TRUE
29008,131,19,1,2,3,2,2,高层,6,0,1,1.2,250,0.35,4.5,浦东,38383.28,TRUE,FALSE,TRUE,TRUE
75621,88.6,10,1,4,4,2,2,低层,6,0,1,1.5,200,0.35,2.6,浦东,46229.27132,TRUE,FALSE,FALSE,FALSE
32739,93.1,10,1,4,2,2,1,中层,7,0,1,1.3,100,0.35,0.5,浦东,41074.30357,TRUE,TRUE,TRUE,TRUE
72222,90,6,1,4,3,2,1,低层,16,1,1,1.5,600,0.35,2,浦东,45311.86441,TRUE,TRUE,FALSE,FALSE
70380,99.5,18,1,3,2,1,1,低层,6,0,1,1.8,800,0.44,1.5,浦东,50950.82051,TRUE,TRUE,TRUE,FALSE
35514,107,18,1,4,2,1,1,高层,12,0,1,1.8,120,0.4,1.22,浦东,27226.73846,TRUE,TRUE,TRUE,FALSE
86124,125.4,6,1,4,3,2,2,低层,18,1,1,2.7,406,0.4,3.5,浦东,48258.65812,TRUE,FALSE,TRUE,FALSE
45165,48.7,23,1,4,1,1,1,低层,6,0,1,1.2,38,0.4,0.6,浦东,48258.65812,TRUE,FALSE,FALSE,FALSE
55112,108.9,14,1,2,2,2,2,中层,11,1,1,1.4,128,0.48,1.8,浦东,47038.57386,TRUE,FALSE,FALSE,FALSE
71051,60.5,19,1,3,3,2,2,高层,6,0,1,1.1,80,0.4,0.45,浦东,46229.27132,TRUE,FALSE,FALSE,FALSE
58749,110.6,12,1,2,2,2,1,中层,16,1,1,1.8,1395,0.45,1.66,浦东,46229.27132,FALSE,FALSE,TRUE,TRUE
30368,112,4,1,1,3,2,2,高层,21,1,1,2.8,800,0.55,2.9,浦东,29870.67416,FALSE,FALSE,FALSE,TRUE
79806,99,9,1,3,2,2,2,高层,11,1,1,1.8,342,0.41,1.95,浦东,47038.57386,TRUE,FALSE,TRUE,TRUE
45978,46,24,1,3,1,1,1,中层,6,0,0,1.8,284,0.26,0.8,浦东,47038.57386,TRUE,TRUE,FALSE,FALSE
67724,177.2,14,1,2,4,2,2,低层,18,1,1,1.8,670,0.4,2,浦东,74209.62712,TRUE,TRUE,TRUE,TRUE
54730,74,11,1,4,2,1,1,中层,15,1,1,1.6,680,0.3,1.2,浦东,50950.82051,TRUE,TRUE,FALSE,FALSE
46823,74.8,21,1,3,2,1,1,低层,18,1,1,1.2,100,0.3,0.8,浦东,48439.19444,TRUE,TRUE,FALSE,TRUE
51038,58.8,12,1,2,1,1,1,中层,14,1,1,1.5,580,0.5,0.5,浦东,50950.82051,TRUE,TRUE,TRUE,FALSE
42427,132,13,1,3,3,2,2,中层,18,1,1,2.3,100,0.35,1.5,浦东,41074.30357,TRUE,FALSE,TRUE,FALSE
